system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00048] PathFindOnPath found: C:\Windows\system32\d3d9.dll
d3d      D         d3d_disp.cpp:1836 d3d_create_display_internals     [   0.09453] Trying format 0 of 140.
d3d      I         d3d_disp.cpp:1514 d3d_display_thread_proc          [   0.09493] Chose a display format: 23
d3d      I         d3d_disp.cpp:1583 d3d_display_thread_proc          [   0.09502] Normal window.
d3d      I         d3d_disp.cpp:978  d3d_create_device                [   0.10849] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:1058 d3d_create_device                [   0.24237] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:1066 d3d_create_device                [   0.24245] Success
d3d      D         d3d_disp.cpp:1859 d3d_create_display_internals     [   0.24250] Resumed after wait.
d3d      I         d3d_disp.cpp:1884 d3d_create_display_internals     [   0.24265] Format 0 succeeded.
dtor     D               dtor.c:184  _al_register_destructor          [   0.24522] added dtor for object 004FEDB8, func 68781D84
dtor     D               dtor.c:184  _al_register_destructor          [   0.24530] added dtor for object 004FEEC0, func 68781BC2
