system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00057] PathFindOnPath found: C:\Windows\system32\d3d9.dll
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.25145] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.25147] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.25149] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.25151] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.25153] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.25155] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.25157] Chose bitmap format 9
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.25466] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.25476] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.26374] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.26381] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.26776] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.26785] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.27033] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.27042] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:114  _al_run_destructors              [   3.85062] calling dtor for object 02447880, func 6BF41064
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.85070] removed dtor for object 02447880
d3d      W          d3d_bmp.cpp:725  d3d_destroy_bitmap               [   3.85086] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:114  _al_run_destructors              [   3.85105] calling dtor for object 0244F740, func 6A671BC2
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.85166] removed dtor for object 0244F740
dtor     D               dtor.c:114  _al_run_destructors              [   3.85170] calling dtor for object 0244F5F0, func 6A671D84
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.85173] removed dtor for object 0244F5F0
d3d      W         d3d_disp.cpp:798  d3d_destroy_device               [   3.85787] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1705 d3d_display_thread_proc          [   3.87950] d3d display thread exits
